LengthRowID,CatchRowID,ForkLength,TotalLength,LengthFrequency,AdiposeClip,Sex
1,91339,8.0,,1,0,"n/p"
2,91339,9.0,,1,0,"n/p"
3,91339,10.0,,1,0,"n/p"
4,91339,10.0,,1,0,"n/p"
5,91339,10.0,,1,0,"n/p"
6,91339,12.0,,1,0,"n/p"
7,91339,12.0,,1,0,"n/p"
8,91339,12.0,,1,0,"n/p"
9,91339,14.0,,1,0,"n/p"
10,91339,15.0,,1,0,"n/p"
11,91339,15.0,,1,0,"n/p"
12,412938,18.0,,1,0,"n/p"
13,412938,19.0,,1,0,"n/p"
14,414669,19.0,,1,0,"n/p"
15,598917,18.0,,1,0,"n/p"
16,656453,15.0,,1,0,"n/p"
17,1018203,,14.0,1,0,
18,1019054,,14.8,1,0,
24,1105248,,13.0,1,0,
25,1105252,,13.0,1,0,
26,1105253,,19.0,1,0,
27,1105254,,19.0,1,0,
28,1105254,,17.0,1,0,
29,1105254,,17.0,1,0,
30,1105254,,16.0,1,0,
31,1105255,,18.0,1,0,
32,1105256,,19.0,1,0,
33,1105257,,16.0,1,0,
34,1105257,,19.5,1,0,
35,1105257,,16.5,1,0,
36,1105259,,17.0,1,0,
37,1105259,,17.0,1,0,
38,1105260,,18.3,1,0,
41,1105406,,18.8,1,0,
42,1105406,,14.0,1,0,
43,1105406,,15.5,1,0,
44,1105406,,18.0,1,0,
45,1105406,,17.5,1,0,
46,1105406,,17.0,1,0,
47,1105406,,19.0,1,0,
48,1105406,,16.0,1,0,
49,1105406,,14.0,1,0,
50,1105406,,19.0,1,0,
51,1105406,,16.5,1,0,
52,1105406,,19.0,1,0,
53,1105406,,16.5,1,0,
54,1105406,,17.0,1,0,
55,1105406,,17.0,1,0,
56,1105406,,14.0,1,0,
57,1105406,,15.0,1,0,
58,1105406,,17.0,1,0,
59,1105406,,17.5,1,0,
60,1105406,,17.0,1,0,
61,1105406,,17.0,1,0,
62,1105406,,17.0,1,0,
63,1105406,,17.5,1,0,
64,1105406,,19.0,1,0,
65,1105406,,15.0,1,0,
66,1105406,,18.0,1,0,
67,1105406,,17.0,1,0,
68,1105406,,18.5,1,0,
69,1105406,,14.0,1,0,
70,1105406,,19.0,1,0,
91,1105624,,19.0,1,0,
92,1105624,,19.0,1,0,
113,1105792,,19.0,1,0,
114,1105857,,18.0,1,0,
115,1105848,,17.0,1,0,
116,1105848,,17.0,1,0,
117,1105848,,16.5,1,0,
118,1105848,,12.0,1,0,
119,1105825,,19.0,1,0,
120,1105848,,19.0,1,0,
121,1105848,,19.0,1,0,
122,1105848,,18.0,1,0,
123,1105848,,19.0,1,0,
124,1105848,,19.0,1,0,
125,1105848,,19.0,1,0,
126,1105848,,18.0,1,0,
127,1105848,,14.0,1,0,
128,1105917,,16.8,1,0,
129,1105917,,15.0,1,0,
130,1105917,,16.5,1,0,
131,1105917,,18.0,1,0,
132,1105917,,18.0,1,0,
133,1105917,,19.0,1,0,
134,1105917,,18.0,1,0,
135,1105938,,17.0,1,0,
136,1105938,,18.0,1,0,
137,1105931,,19.5,1,0,
138,1105938,,19.0,1,0,
139,1106008,,19.5,1,0,
140,1106021,,18.0,1,0,
141,1106036,,19.0,1,0,
142,1106036,,17.0,1,0,
143,1106144,,,1,0,
144,1106148,,18.0,1,0,
145,1106148,,19.0,1,0,
147,1106431,,19.0,1,0,
148,1106823,,16.0,1,0,
150,1107478,,,1,0,
151,1110799,,12.0,1,0,
152,1130855,,14.6,1,0,
154,1130914,,16.1,1,0,
155,1130916,,13.6,1,0,
158,1131338,,17.0,1,0,
159,1131338,,16.0,1,0,
160,1131394,,,1,0,
162,1131495,,,1,0,
164,1131654,,16.0,1,0,
165,1131798,,15.1,1,0,
166,1131798,,19.5,1,0,
167,1131824,,18.0,1,0,
168,1131824,,17.9,1,0,
169,1131824,,17.0,1,0,
170,1131824,,18.7,1,0,
171,1131824,,19.4,1,0,
172,1131824,,17.6,1,0,
173,1131824,,19.3,1,0,
174,1131828,,19.0,1,0,
178,1131922,,15.4,1,0,
179,1131922,,18.9,1,0,
180,1131922,,13.8,1,0,
181,1132160,,,1,0,
183,1132418,,17.5,1,0,
184,1132472,,17.0,1,0,
188,1132601,,19.0,1,0,
189,1132601,,18.0,1,0,
190,1132601,,19.0,1,0,
192,1133240,,18.5,1,0,
193,1133351,,,1,0,
194,1133420,,19.0,1,0,
195,1133467,,19.9,1,0,
198,1156089,,19.0,1,0,
199,1156090,,17.5,1,0,
200,1156139,,14.5,1,0,
201,1156163,,16.0,1,0,
202,1156163,,12.8,1,0,
206,1156286,,19.2,1,0,
207,1156376,,17.0,1,0,
208,1156377,,,1,0,
209,1156531,,,1,0,
210,1156378,,17.0,1,0,
211,1156544,,19.4,1,0,
212,1156548,,18.0,1,0,
213,1156595,,13.0,1,0,
214,1156591,,16.5,1,0,
215,1156576,,15.0,1,0,
216,1156604,,16.0,1,0,
217,1156604,,12.0,1,0,
218,1156604,,14.5,1,0,
219,1156604,,14.5,1,0,
220,1156604,,19.1,1,0,
221,1156604,,16.8,1,0,
222,1156604,,15.5,1,0,
223,1156604,,14.9,1,0,
224,1156604,,13.0,1,0,
225,1156604,,18.0,1,0,
226,1156604,,14.0,1,0,
227,1156604,,15.0,1,0,
228,1156650,,8.5,1,0,
229,1156681,,18.0,1,0,
230,1156681,,14.0,1,0,
231,1156681,,16.8,1,0,
232,1156681,,15.0,1,0,
233,1156679,,18.4,1,0,
234,1156681,,17.2,1,0,
235,1156681,,15.0,1,0,
236,1156681,,12.0,1,0,
237,1156681,,18.4,1,0,
238,1156681,,14.0,1,0,
239,1156681,,16.4,1,0,
240,1156681,,16.5,1,0,
241,1156681,,13.0,1,0,
242,1156681,,13.2,1,0,
243,1156681,,11.5,1,0,
244,1156681,,14.5,1,0,
245,1156681,,19.0,1,0,
246,1156681,,17.0,1,0,
247,1156681,,18.0,1,0,
248,1156681,,15.3,1,0,
249,1156681,,12.0,1,0,
250,1157685,,18.6,1,0,
251,1157685,,18.2,1,0,
252,1157685,,18.0,1,0,
254,1157685,,18.7,1,0,
255,1157685,,16.8,1,0,
256,1157685,,14.3,1,0,
257,1157706,,16.4,1,0,
258,1157770,,17.4,1,0,
259,1157756,,15.4,1,0,
260,1157770,,15.6,1,0,
261,1157756,,15.5,1,0,
262,1157770,,17.1,1,0,
263,1157756,,15.2,1,0,
264,1157770,,14.5,1,0,
265,1157770,,18.2,1,0,
266,1157770,,15.4,1,0,
267,1157770,,17.8,1,0,
268,1157770,,15.2,1,0,
269,1157770,,16.2,1,0,
273,1157838,,16.3,1,0,
274,1157838,,17.8,1,0,
275,1157839,,16.6,1,0,
276,1157838,,13.7,1,0,
277,1157838,,16.3,1,0,
278,1157838,,17.9,1,0,
279,1157838,,13.4,1,0,
280,1157838,,16.0,1,0,
281,1157838,,13.1,1,0,
282,1157855,,14.4,1,0,
283,1157875,,13.3,1,0,
284,1157875,,18.7,1,0,
285,1157875,,18.9,1,0,
286,1157875,,16.5,1,0,
287,1157875,,19.6,1,0,
288,1157875,,16.6,1,0,
289,1157875,,19.4,1,0,
290,1157855,,17.0,1,0,
291,1157971,,14.0,1,0,
292,1158039,,15.5,1,0,
293,1158052,,19.5,1,0,
294,1158052,,14.0,1,0,
295,1158095,,16.8,1,0,
296,1158095,,19.6,1,0,
297,1158128,,19.5,1,0,
298,1158128,,14.2,1,0,
299,1158128,,17.5,1,0,
300,1158128,,19.6,1,0,
301,1158128,,19.0,1,0,
302,1158128,,19.0,1,0,
303,1158128,,15.0,1,0,
304,1158128,,18.2,1,0,
305,1158128,,19.2,1,0,
306,1158128,,16.5,1,0,
307,1158128,,16.2,1,0,
308,1158128,,18.0,1,0,
309,1158128,,18.1,1,0,
357,1158323,,18.5,1,0,
358,1158323,,16.5,1,0,
359,1158323,,19.2,1,0,
360,1158323,,19.5,1,0,
361,1158323,,18.0,1,0,
362,1158323,,17.5,1,0,
363,1158323,,18.6,1,0,
364,1158323,,19.8,1,0,
365,1158323,,16.0,1,0,
366,1158323,,17.4,1,0,
367,1158323,,18.0,1,0,
368,1158323,,19.8,1,0,
369,1158323,,17.0,1,0,
370,1158323,,18.6,1,0,
371,1158323,,19.0,1,0,
372,1158323,,18.0,1,0,
373,1158323,,16.2,1,0,
374,1158323,,15.5,1,0,
375,1158323,,16.0,1,0,
376,1158323,,19.5,1,0,
377,1158323,,16.5,1,0,
378,1158323,,18.4,1,0,
379,1158323,,16.5,1,0,
380,1158323,,17.0,1,0,
381,1158323,,19.0,1,0,
382,1158323,,19.2,1,0,
383,1158323,,14.9,1,0,
384,1158357,,16.5,1,0,
385,1158357,,18.2,1,0,
386,1158357,,14.5,1,0,
387,1158357,,16.6,1,0,
388,1158357,,18.2,1,0,
389,1158357,,14.7,1,0,
390,1158357,,18.0,1,0,
391,1158357,,13.5,1,0,
392,1158357,,17.9,1,0,
393,1158357,,14.0,1,0,
394,1158357,,17.5,1,0,
395,1158357,,16.0,1,0,
396,1158357,,17.0,1,0,
397,1158357,,19.9,1,0,
398,1158357,,17.1,1,0,
399,1158357,,16.0,1,0,
400,1158357,,15.2,1,0,
401,1158357,,18.0,1,0,
402,1158357,,13.6,1,0,
403,1158357,,15.0,1,0,
404,1158382,,15.0,1,0,
405,1158382,,14.0,1,0,
406,1158382,,16.6,1,0,
407,1158382,,14.2,1,0,
408,1158382,,15.9,1,0,
409,1158382,,15.6,1,0,
410,1158382,,17.2,1,0,
411,1158440,,18.8,1,0,
412,1158440,,19.3,1,0,
413,1158440,,16.5,1,0,
414,1158440,,17.0,1,0,
415,1158440,,19.4,1,0,
416,1158440,,18.0,1,0,
417,1158440,,18.6,1,0,
418,1158440,,17.7,1,0,
419,1158440,,16.2,1,0,
420,1158440,,17.0,1,0,
421,1158440,,17.6,1,0,
422,1158472,,19.3,1,0,
423,1158472,,19.0,1,0,
424,1158474,,18.1,1,0,
425,1158472,,13.5,1,0,
428,1158351,,19.6,1,0,
429,1158351,,19.5,1,0,
430,1158265,,18.7,1,0,
431,1158080,,16.3,1,0,
432,1157962,,17.4,1,0,
433,1157962,,17.8,1,0,
434,1158610,,16.1,1,0,
436,1158658,,19.0,1,0,
437,1158658,,16.3,1,0,
438,1158783,,18.3,1,0,
439,1158826,,14.8,1,0,
440,1158862,,16.9,1,0,
441,1158862,,16.0,1,0,
442,1158967,,16.0,1,0,
443,1158940,,17.6,1,0,
444,1159026,,19.8,1,0,
445,1159032,,17.0,1,0,
446,1159069,,19.6,1,0,
447,1159056,,17.5,1,0,
448,1159165,,13.2,1,0,
449,1159165,,18.7,1,0,
450,1159165,,17.2,1,0,
451,1159165,,18.3,1,0,
452,1159165,,18.3,1,0,
453,1159165,,19.5,1,0,
456,1159450,,15.7,1,0,
457,1159464,,18.0,1,0,
