"Building","Date","Samples","Pumping_Time","Sample_Time","Pumping_Volume","Sample_Volume","Exported_Volume","organism_1","organism_2","organism_3","organism_26"
"CVP","1993-01-30",12,1440,60,12221.23638528,509.21818272,10070.13072,0,0,85,0
"SWP","1993-01-31",12,1500,155,19884.0003264,2008.864584,15124.93176,3,6,506,7
"CVP","1993-01-31",12,1440,60,11884.01727744,495.16738656,10163.8752,0,0,99,0
"SWP","1993-02-01",11,1440,130,15811.9878528,1308.023784,15259.38108,4,2,278,6
"CVP","1993-02-01",12,1440,60,13310.57235456,554.60718144,10181.14392,0,0,69,0
"SWP","1993-02-02",6,540,60,8981.9756928,940.400928,9759.29376,1,5,245,7
"CVP","1993-02-02",12,1440,60,13039.61455872,543.31727328,10145.373,0,0,93,0
"SWP","1993-02-03",6,600,60,10056.9380544,934.029648,9596.4744,0,1,176,5
"CVP","1993-02-03",12,1440,60,12531.74708736,522.15612864,9311.54052,0,0,105,0
"SWP","1993-02-04",9,1080,160,9482.5034496,934.1995488,8496.21024,3,1,163,4
"CVP","1993-02-04",12,1440,60,12206.14919424,508.58954976,8437.0032,0,0,73,0
"SWP","1993-02-05",6,600,60,8791.3469952,825.3780864,8354.36004,5,4,310,6
"CVP","1993-02-05",12,1440,95,13114.642752,856.74177408,8555.41728,1,0,126,0
"SWP","1993-02-06",7,720,80,7138.8918144,671.7028128,6213.03876,1,3,132,6
"CVP","1993-02-06",12,1440,120,10799.98221312,899.99851776,7384.84476,0,7,127,0
"SWP","1993-02-07",11,1440,150,8750.5708032,863.520816,8501.14416,0,8,142,6
"CVP","1993-02-07",12,1440,120,10225.85342976,852.15445248,7671.01212,1,5,109,0
"SWP","1993-02-08",12,1440,155,12476.4953472,1324.4616864,14421.84816,2,15,308,3
"CVP","1993-02-08",12,1440,120,13188.0398976,1099.0033248,9781.4964,0,11,135,0
"SWP","1993-02-09",12,1320,180,16202.4198912,2066.9281824,18549.07224,3,45,388,6
"CVP","1993-02-09",12,1440,120,14015.59271424,1167.96605952,10022.025,3,9,127,0
"SWP","1993-02-10",12,1500,145,22537.5110208,2159.6940192,18763.69776,4,38,338,6
"CVP","1993-02-10",12,1440,120,13101.18660864,1091.76555072,9913.47876,2,9,167,0
"SWP","1993-02-11",12,1440,155,22113.9483264,2338.7694624,19808.45532,6,92,346,6
"CVP","1993-02-11",12,1440,120,14483.09175552,1206.92431296,10230.48312,0,4,103,0
"SWP","1993-02-12",12,1440,135,21302.5021056,1957.5120672,19373.03688,4,59,304,10
"CVP","1993-02-12",12,1440,120,13157.4577536,1096.4548128,10309.42584,2,8,122,0
"SWP","1993-02-13",12,1440,175,21532.8875904,2526.849648,19328.6316,3,72,393,9
"CVP","1993-02-13",12,1440,120,12877.52919552,1073.12743296,10271.18796,4,10,173,0
"SWP","1993-02-14",12,1500,170,21033.3792384,2242.0959072,19078.23516,3,62,478,7
"CVP","1993-02-14",12,1440,120,12881.1990528,1073.4332544,10290.92364,0,10,140,0
"SWP","1993-02-15",11,1380,179,18231.0354432,2293.88167104,18861.14268,1,37,542,4
"CVP","1993-02-15",12,1440,120,13472.86159872,1122.73846656,10337.79588,0,12,117,1
"SWP","1993-02-16",12,1500,199,20572.6082688,2626.54743744,16743.25752,0,51,455,1
"CVP","1993-02-16",12,1440,120,13184.37004032,1098.69750336,10355.0646,0,10,116,0
"SWP","1993-02-17",12,1380,180,16887.4599168,2120.5318848,17501.84772,4,41,532,1
"CVP","1993-02-17",11,1440,110,13246.34985216,1012.15003584,10326.69456,1,8,207,0
"SWP","1993-02-18",13,1440,165,17619.3925632,2133.6142464,17281.0548,3,43,617,5
"CVP","1993-02-18",12,1440,120,13271.22332928,1105.93527744,10207.047,1,9,100,0
"SWP","1993-02-19",12,1500,150,19809.0740736,1887.5129376,18068.01504,5,46,585,3
"CVP","1993-02-19",12,1440,120,12936.85855488,1078.07154624,9973.91928,0,3,111,0
"SWP","1993-02-20",12,1380,160,18922.1918976,2094.9618144,19355.76816,12,84,367,6
"CVP","1993-02-20",12,1440,120,12469.97115648,1039.16426304,9968.98536,1,9,74,0
"SWP","1993-02-21",11,1440,205,15888.4432128,2133.104544,15050.92296,19,62,119,9
"CVP","1993-02-21",12,1440,120,12700.96828416,1058.41402368,10225.5492,1,15,120,0
"SWP","1993-02-22",9,1200,170,14315.5016064,1906.1170752,13538.67648,10,91,252,5
"CVP","1993-02-22",12,1440,120,13338.70792704,1111.55899392,10305.7254,1,20,97,0
"SWP","1993-02-23",4,540,80,8981.9756928,1330.6630656,8721.93708,5,83,117,2
"CVP","1993-02-23",12,1440,120,13086.50717952,1090.54226496,10213.2144,2,28,145,0
"SWP","1993-02-24",10,1200,205,4607.709696,787.1504064,4535.50596,3,47,356,1
"CVP","1993-02-24",12,1440,120,13155.62282496,1096.30190208,10256.3862,9,20,249,1
"SWP","1993-02-25",0,0,0,0,0,NA,0,0,0,0
"CVP","1993-02-25",12,1440,120,12219.6053376,1018.3004448,10262.5536,1,27,116,0
