"Building","Date","Samples","Pumping_Time","Sample_Time","Pumping_Volume","Sample_Volume","Exported_Volume","organism_1","organism_2","organism_3","organism_26"
"CVP","1995-10-09",12,1440,120,9192.58472448,766.04872704,10596.82668,0,0,68,0
"SWP","1995-10-10",9,900,270,5759.63712,1555.1020224,5349.60276,0,0,13,0
"CVP","1995-10-10",12,1440,120,9132.64372224,761.05364352,10604.22756,0,0,33,0
"SWP","1995-10-11",7,720,210,4607.709696,1209.5237952,4611.98172,0,0,4,0
"CVP","1995-10-11",12,1440,120,9218.06984448,768.17248704,10699.20552,2,0,63,0
"SWP","1995-10-12",6,600,180,4262.1314688,1267.1201664,4325.81436,0,0,10,0
"CVP","1995-10-12",12,1440,120,8846.59873536,737.21656128,10663.4346,2,0,32,0
"SWP","1995-10-13",9,900,270,5068.4806656,1497.5056512,5159.64684,0,0,14,0
"CVP","1995-10-13",12,1440,120,8901.4427136,741.7868928,10639.99848,1,0,45,0
"SWP","1995-10-14",6,660,180,4377.3242112,1209.5237952,4773.5676,0,0,1,0
"CVP","1995-10-14",12,1440,120,8764.23082752,730.35256896,10649.86632,0,0,44,0
"SWP","1995-10-15",12,1500,360,8639.45568,2073.4693632,8329.69044,0,0,5,0
"CVP","1995-10-15",12,1440,120,8956.89833472,746.40819456,10547.48748,0,0,43,0
"SWP","1995-10-16",7,720,210,4492.5169536,1267.1201664,4866.0786,0,0,11,0
"CVP","1995-10-16",12,1440,120,8914.08333312,742.84027776,10582.02492,0,0,18,0
"SWP","1995-10-17",6,720,180,3686.1677568,921.5419392,3715.24176,0,0,7,0
"CVP","1995-10-17",12,1440,120,8922.64633344,743.55386112,10620.2628,0,0,9,0
"SWP","1995-10-18",6,660,180,3570.9750144,921.5419392,3635.06556,0,0,5,0
"CVP","1995-10-18",12,1440,120,8875.54983168,739.62915264,10607.928,0,0,8,0
"SWP","1995-10-19",6,660,180,3570.9750144,921.5419392,3255.15372,0,0,3,0
"CVP","1995-10-19",12,1440,120,9012.5578368,751.0464864,10712.7738,0,0,23,0
"SWP","1995-10-20",2,240,60,460.7709696,115.1927424,466.25544,0,0,0,0
"CVP","1995-10-20",12,1440,120,8974.02433536,747.83536128,10654.80024,0,0,33,0
"SWP","1995-10-21",5,720,480,2419.0475904,1727.891136,2645.8146,0,0,2,0
"CVP","1995-10-21",12,1440,120,8926.9278336,743.9106528,10600.52712,0,0,36,0
"SWP","1995-10-22",11,1440,540,5529.2516352,2073.4693632,5558.06088,0,0,5,0
"CVP","1995-10-22",12,1440,120,8811.32732928,734.27727744,10586.95884,0,0,22,0
"SWP","1995-10-23",8,840,240,2879.81856,806.3491968,2628.54588,0,0,9,0
"CVP","1995-10-23",12,1440,120,8798.4828288,733.2069024,10503.0822,0,0,36,0
"SWP","1995-10-24",8,840,240,5529.2516352,1612.6983936,5524.75692,0,1,15,0
"CVP","1995-10-24",12,1440,120,9093.29469696,757.77455808,10491.98088,0,0,45,0
"SWP","1995-10-25",12,1380,360,13052.4590592,3378.3075072,13460.96724,0,0,63,0
"CVP","1995-10-25",12,1440,120,15701.28049152,1308.44004096,10567.22316,0,0,64,0
"SWP","1995-10-26",12,1440,310,16042.3733376,3389.52096,15862.5528,0,0,74,0
"CVP","1995-10-26",12,1440,130,8511.62231808,769.24286208,10496.9148,0,0,50,0
"SWP","1995-10-27",12,1440,235,16083.1495296,2482.3356384,15925.46028,0,0,38,0
"CVP","1995-10-27",11,1440,110,8378.89581312,638.6571072,10516.65048,0,0,65,0
"SWP","1995-10-28",12,1440,220,16083.1495296,2290.4326848,15898.32372,0,0,50,0
"CVP","1995-10-28",12,1440,120,8430.27381504,702.52281792,10505.54916,0,0,56,0
"SWP","1995-10-29",12,1500,170,16850.761344,1820.1472704,16867.839,0,0,44,0
"CVP","1995-10-29",12,1440,120,8314.67331072,692.88944256,11068.01604,0,0,42,0
"SWP","1995-10-30",12,1440,180,15967.9567872,1842.574176,15980.96688,0,0,34,0
"CVP","1995-10-30",12,1440,120,8625.38789376,718.78232448,10505.54916,0,0,31,0
"SWP","1995-10-31",12,1440,265,15967.9567872,2776.603824,15797.17836,0,0,34,0
"CVP","1995-10-31",12,1440,120,7976.43479808,664.70289984,10511.71656,0,0,19,0
"SWP","1995-11-01",12,1440,210,15967.9567872,2200.8100128,15804.57924,0,0,51,0
"CVP","1995-11-01",12,1440,120,8297.54731008,691.46227584,10484.58,0,0,14,0
"SWP","1995-11-02",12,1440,175,14124.8729088,1522.5660192,13898.85264,0,0,51,0
"CVP","1995-11-02",12,1440,120,8318.95481088,693.24623424,10466.0778,0,0,32,0
"SWP","1995-11-03",12,1440,210,14509.1885184,1938.4831776,14152.94952,0,0,57,0
"CVP","1995-11-03",12,1440,120,8387.45881344,698.95490112,10508.01612,0,0,13,0
"SWP","1995-11-04",12,1440,220,14506.130304,2181.0165696,14177.61912,0,0,49,0
"CVP","1995-11-04",12,1440,120,8134.850304,677.904192,10448.80908,0,0,50,0
"SWP","1995-11-05",12,1440,235,15658.057728,2555.308032,15358.05948,0,0,36,0
"CVP","1995-11-05",12,1440,120,8391.7403136,699.3116928,10468.54476,0,0,11,0
"SWP","1995-11-06",12,1440,250,12281.7890304,1874.3456256,12027.66348,0,0,51,0
"CVP","1995-11-06",12,1440,120,8520.1853184,710.0154432,10456.20996,0,0,28,0
"SWP","1995-11-07",6,780,105,8481.447936,1141.733376,7677.17952,0,0,28,0
"CVP","1995-11-07",12,1440,120,7026.7572864,585.5631072,7909.07376,0,0,19,0
"SWP","1995-11-08",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-11-08",12,1440,122,5312.32229376,450.10119936,7011.10032,0,0,17,0
"SWP","1995-11-09",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-11-09",12,1440,120,7761.34038528,646.77836544,8686.16616,0,0,17,0
"SWP","1995-11-10",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-11-10",12,1440,120,8725.69732608,727.14144384,10647.39936,0,0,43,0
"SWP","1995-11-11",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-11-11",12,1440,120,8314.67331072,692.88944256,10786.7826,0,0,20,0
"SWP","1995-11-12",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-11-12",12,1440,120,8027.8128,668.9844,10849.69008,0,0,16,0
"SWP","1995-11-13",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-11-13",12,1440,120,8515.90381824,709.65865152,10659.73416,0,0,22,0
"SWP","1995-11-14",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-11-14",12,1440,120,8537.31131904,711.44260992,10718.9412,0,0,17,0
"SWP","1995-11-15",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-11-15",12,1440,120,8580.12632064,715.01052672,10690.57116,0,0,24,0
"SWP","1995-11-16",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-11-16",12,1440,120,8528.74831872,710.72902656,10583.2584,0,0,21,0
"SWP","1995-11-17",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-11-17",12,1440,120,8327.5178112,693.9598176,10522.81788,0,0,22,0
"SWP","1995-11-18",2,240,40,152.91072,25.48512,257.79732,0,0,0,0
"CVP","1995-11-18",12,1440,120,8130.56880384,677.54740032,10600.52712,0,0,20,0
"SWP","1995-11-19",8,1500,1110,955.692,707.21208,911.54172,0,0,21,0
"CVP","1995-11-19",12,1440,120,7890.80479488,657.56706624,10736.20992,0,0,25,0
"SWP","1995-11-20",8,1440,1140,917.46432,726.32592,901.67388,0,0,12,0
"CVP","1995-11-20",12,1440,120,8648.6303232,720.7191936,10651.0998,0,0,47,0
"SWP","1995-11-21",4,1440,1350,917.46432,860.1228,893.03952,0,0,62,0
"CVP","1995-11-21",12,1440,120,8768.51232768,730.70936064,10615.32888,0,0,32,0
"SWP","1995-11-22",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-11-22",12,1440,120,8605.8153216,717.1512768,10503.0822,0,0,27,0
"SWP","1995-11-23",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-11-23",12,1440,120,8652.91182336,721.07598528,10584.49188,0,0,48,0
"SWP","1995-11-24",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-11-24",12,1440,130,8588.68932096,774.59473728,10548.72096,0,0,31,0
"SWP","1995-11-25",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-11-25",12,1440,120,8571.56332032,714.29694336,10604.22756,0,0,13,0
"SWP","1995-11-26",4,600,510,1151.927424,979.1383104,1164.40512,0,0,27,0
"CVP","1995-11-26",12,1440,120,8460.24431616,705.02035968,10569.69012,0,0,14,0
"SWP","1995-11-27",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-11-27",12,1440,120,8263.2953088,688.6079424,10570.9236,0,0,7,0
"SWP","1995-11-28",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-11-28",12,1440,120,8353.20681216,696.10056768,10657.2672,0,0,11,0
"SWP","1995-11-29",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-11-29",12,1440,120,8177.6653056,681.4721088,10694.2716,0,0,4,0
"SWP","1995-11-30",2,420,375,267.59376,238.923,279.99996,0,0,6,0
"CVP","1995-11-30",12,1440,120,7929.54217728,660.79518144,10685.63724,0,0,20,0
"SWP","1995-12-01",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-12-01",12,1440,120,8250.45080832,687.53756736,10796.65044,0,0,31,0
"SWP","1995-12-02",3,780,750,496.95984,477.846,535.33032,0,0,50,0
"CVP","1995-12-02",12,1440,120,8511.62231808,709.30185984,10679.46984,0,0,25,0
"SWP","1995-12-03",5,1320,1230,841.00896,783.66744,782.02632,0,0,79,0
"CVP","1995-12-03",10,1440,100,8494.49631744,589.41985536,10628.89716,0,0,21,0
"SWP","1995-12-04",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-12-04",12,1440,120,8798.4828288,733.2069024,10707.83988,0,0,29,0
"SWP","1995-12-05",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-12-05",12,1440,120,8944.05383424,745.33781952,10644.9324,0,0,18,0
"SWP","1995-12-06",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-12-06",12,1440,120,8875.9575936,739.6631328,10611.62844,0,0,15,0
"SWP","1995-12-07",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-12-07",12,1440,120,8850.06471168,737.50539264,10659.73416,0,0,22,0
"SWP","1995-12-08",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-12-08",12,1440,120,8819.8903296,734.9908608,10537.61964,1,0,34,0
"SWP","1995-12-09",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-12-09",12,1440,120,8370.3328128,697.5277344,10563.52272,0,0,22,0
"SWP","1995-12-10",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-12-10",12,1440,120,8425.99231488,702.16602624,10565.98968,0,0,20,0
"SWP","1995-12-11",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-12-11",12,1440,120,8798.4828288,733.2069024,10582.02492,0,0,13,0
"SWP","1995-12-12",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-12-12",12,1440,120,9102.67322112,758.55610176,10342.7298,0,0,24,0
"SWP","1995-12-13",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-12-13",12,1440,120,8665.75632384,722.14636032,10459.9104,0,0,44,0
"SWP","1995-12-14",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-12-14",12,1440,130,8370.3328128,757.46873664,10467.31128,0,0,23,0
"SWP","1995-12-15",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-12-15",12,1440,120,8070.83168256,672.56930688,10421.67252,1,0,43,0
"SWP","1995-12-16",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-12-16",12,1440,120,7946.46429696,662.20535808,10119.46992,1,0,6,0
"SWP","1995-12-17",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-12-17",12,1440,120,7839.42679296,653.28556608,10464.84432,0,0,11,0
"SWP","1995-12-18",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-12-18",12,1440,120,8511.62231808,709.30185984,10408.10424,3,0,39,0
"SWP","1995-12-19",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-12-19",12,1440,120,8554.43731968,712.86977664,10363.69896,0,0,37,0
"SWP","1995-12-20",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-12-20",12,1440,120,8421.71081472,701.80923456,10410.5712,1,0,21,0
"SWP","1995-12-21",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-12-21",12,1440,120,8511.62231808,709.30185984,10364.93244,0,0,35,0
"SWP","1995-12-22",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-12-22",12,1440,120,8682.88232448,723.57352704,10322.99412,0,0,25,0
"SWP","1995-12-23",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-12-23",12,1440,120,8537.31131904,711.44260992,10290.92364,0,0,28,0
"SWP","1995-12-24",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-12-24",12,1440,120,8450.66191104,704.22182592,10299.558,1,0,26,0
"SWP","1995-12-25",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-12-25",12,1440,120,8387.45881344,698.95490112,10652.33328,0,0,41,0
"SWP","1995-12-26",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-12-26",12,1440,120,8477.3703168,706.4475264,10299.558,0,0,36,0
"SWP","1995-12-27",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-12-27",12,1440,120,8665.75632384,722.14636032,10326.69456,2,0,28,0
"SWP","1995-12-28",0,0,0,0,0,NA,0,0,0,0
"CVP","1995-12-28",12,1440,120,8473.08881664,706.09073472,10287.2232,1,0,36,0
"SWP","1995-12-29",8,960,165,611.64288,105.12612,864.66948,0,0,0,0
"CVP","1995-12-29",12,1440,120,8344.64381184,695.38698432,10267.48752,0,0,25,0
"SWP","1995-12-30",5,780,540,496.95984,344.04912,456.3876,0,0,2,0
"CVP","1995-12-30",12,1440,120,8481.65181696,706.80431808,10256.3862,0,0,26,0
"SWP","1995-12-31",4,900,800,573.4152,509.7024,611.80608,0,0,57,0
"CVP","1995-12-31",12,1440,120,8515.90381824,709.65865152,10245.28488,0,0,27,0
"SWP","1996-01-01",6,1320,1170,841.00896,745.43976,910.30824,0,0,3,0
"CVP","1996-01-01",12,1440,120,8490.41869824,707.53489152,10224.31572,0,0,21,0
"SWP","1996-01-02",10,1560,1095,4833.5078592,1446.5354112,5258.32524,0,0,20,0
"CVP","1996-01-02",12,1440,120,8734.2603264,727.8550272,9269.6022,2,0,19,0
"SWP","1996-01-03",12,1440,330,15505.147008,3559.634136,15150.83484,3,0,31,0
"CVP","1996-01-03",12,1440,120,8589.09708288,715.75809024,10199.64612,0,0,16,1
"SWP","1996-01-04",12,1440,315,15658.057728,3425.200128,15312.42072,2,0,32,1
"CVP","1996-01-04",12,1440,120,8327.5178112,693.9598176,10171.27608,0,0,21,1
"SWP","1996-01-05",12,1440,255,15658.057728,2772.781056,15337.09032,1,0,18,0
"CVP","1996-01-05",12,1440,120,8340.36231168,695.03019264,10179.91044,0,0,14,0
"SWP","1996-01-06",12,1440,240,15658.057728,2609.676288,15451.80396,1,0,5,2
"CVP","1996-01-06",12,1440,120,8194.79130624,682.89927552,10237.884,0,0,15,0
"SWP","1996-01-07",12,1440,260,15658.057728,2827.149312,15416.03304,3,0,2,3
"CVP","1996-01-07",12,1440,120,8233.32480768,686.11040064,10260.08664,0,0,20,0
"SWP","1996-01-08",12,1440,225,16579.5996672,2542.565472,16348.54392,0,0,7,3
"CVP","1996-01-08",12,1440,120,8092.0353024,674.3362752,10250.2188,0,0,17,0
"SWP","1996-01-09",13,1440,235,16734.5491968,2734.7232768,16526.16504,4,0,11,3
"CVP","1996-01-09",10,1440,100,8366.05131264,576.57535488,10419.20556,0,0,10,0
"SWP","1996-01-10",12,1440,265,15658.057728,2881.517568,15425.90088,1,1,15,4
"CVP","1996-01-10",12,1440,120,8113.64668416,676.13722368,10586.95884,0,0,13,0
"SWP","1996-01-11",12,1440,190,15658.057728,2065.993728,15411.09912,3,1,9,5
"CVP","1996-01-11",12,1440,120,7766.64129024,647.22010752,10755.9456,2,0,20,0
"SWP","1996-01-12",12,1440,220,13930.166592,1989.0286656,14526.69396,3,1,12,3
"CVP","1996-01-12",12,1440,120,8002.12379904,666.84364992,10657.2672,1,0,10,0
"SWP","1996-01-13",7,840,85,9133.867008,924.260352,8953.83132,0,1,9,0
"CVP","1996-01-13",12,1440,120,8263.2953088,688.6079424,10457.44344,0,0,9,0
"SWP","1996-01-14",12,1440,220,15505.147008,2373.089424,15251.9802,13,1,9,1
"CVP","1996-01-14",12,1440,120,8156.2578048,679.6881504,10395.76944,0,0,15,0
"SWP","1996-01-15",12,1440,165,15658.057728,1794.152448,15661.49556,6,0,56,5
"CVP","1996-01-15",12,1440,120,8186.22830592,682.18569216,10382.20116,0,0,12,0
"SWP","1996-01-16",12,1440,170,15658.057728,1848.520704,15661.49556,20,9,91,3
"CVP","1996-01-16",12,1440,120,8648.6303232,720.7191936,10480.87956,9,2,35,0
"SWP","1996-01-17",12,1440,155,15658.057728,1685.415936,15660.26208,23,5,89,3
"CVP","1996-01-17",11,1440,110,8866.98683136,669.34119168,10489.51392,6,1,17,2
"SWP","1996-01-18",12,1440,180,15658.057728,1957.257216,15642.99336,15,3,41,2
"CVP","1996-01-18",12,1440,120,8614.37832192,717.86486016,10434.00732,6,3,25,2
"SWP","1996-01-19",12,1440,205,16887.4599168,2363.6599296,16970.21784,28,10,27,4
"CVP","1996-01-19",12,1440,120,8759.94932736,729.99577728,10482.11304,7,1,16,2
"SWP","1996-01-20",12,1440,200,17809.001856,2405.2856256,17674.53492,47,11,15,23
"CVP","1996-01-20",12,1440,120,8301.82881024,691.81906752,10385.9016,1,4,8,1
"SWP","1996-01-21",12,1440,200,17502.1610112,2354.1454848,17447.5746,28,13,25,31
"CVP","1996-01-21",12,1440,120,8558.71881984,713.22656832,10463.61084,11,1,25,2
"SWP","1996-01-22",12,1440,175,17502.1610112,2085.4473696,17355.0636,27,11,13,35
"CVP","1996-01-22",12,1440,120,8404.58481408,700.38206784,10448.80908,2,4,17,4
"SWP","1996-01-23",12,1440,180,17502.1610112,2149.4150208,17359.99752,11,6,30,53
"CVP","1996-01-23",12,1440,120,8062.06480128,671.83873344,10726.34208,1,1,9,1
"SWP","1996-01-24",12,1440,240,17502.1610112,2763.6064128,17124.40284,23,15,41,51
"CVP","1996-01-24",12,1440,120,8301.82881024,691.81906752,10299.558,1,1,13,10
"SWP","1996-01-25",12,1440,215,17502.1610112,2443.7681568,17417.97108,34,35,21,37
"CVP","1996-01-25",12,1440,120,8592.97082112,716.08090176,10583.2584,5,7,4,7
"SWP","1996-01-26",12,1440,270,13358.2804992,2188.1524032,13271.01132,25,29,9,33
"CVP","1996-01-26",12,1440,120,8485.93331712,707.16110976,10568.45664,4,3,13,7
"SWP","1996-01-27",14,1440,310,11745.5821056,2136.8423616,11478.76488,34,59,17,44
"CVP","1996-01-27",12,1440,120,8575.84482048,714.65373504,10573.39056,2,1,18,9
"SWP","1996-01-28",12,1440,215,15274.7615232,2273.9523072,15356.826,33,49,15,30
"CVP","1996-01-28",12,1440,120,8567.48570112,713.95714176,10556.12184,1,2,20,13
"SWP","1996-01-29",8,840,135,7752.573504,1081.0787904,7761.05616,4,9,7,15
"CVP","1996-01-29",12,1440,120,8400.30331392,700.02527616,10593.12624,4,19,5,11
"SWP","1996-01-30",6,720,110,6678.1208448,988.3129536,6723.69948,6,10,4,3
"CVP","1996-01-30",12,1440,120,8460.24431616,705.02035968,10857.09096,0,17,9,12
"SWP","1996-01-31",8,780,140,7330.5399168,1157.873952,6729.86688,10,22,6,20
"CVP","1996-01-31",11,1440,112,8674.31932416,672.409600128,10625.19672,6,17,28,5
"SWP","1996-02-01",4,420,60,5373.2827008,767.6118144,5381.67324,2,3,6,7
"CVP","1996-02-01",11,1440,110,9046.80983808,684.32644224,10609.16148,4,11,40,7
"SWP","1996-02-02",0,0,0,0,0,NA,0,0,0,0
"CVP","1996-02-02",12,1440,120,9046.80983808,753.90081984,10600.52712,2,6,30,0
"SWP","1996-02-03",2,180,30,1650.4163712,249.4993248,2268.36972,0,2,4,5
"CVP","1996-02-03",12,1440,120,9072.49883904,756.04156992,10649.86632,1,2,19,2
"SWP","1996-02-04",12,1440,215,17155.5633792,2539.4223072,17017.09008,13,21,17,31
"CVP","1996-02-04",12,1440,120,9089.62483968,757.46873664,10583.2584,0,11,62,0
"SWP","1996-02-05",9,960,160,6448.7547648,978.8834592,5889.867,2,12,3,12
"CVP","1996-02-05",12,1440,120,9123.87684096,760.32307008,10565.98968,3,5,27,2
"SWP","1996-02-06",6,720,170,1382.3129088,326.3794368,1349.42712,1,4,8,6
"CVP","1996-02-06",12,1440,122,9372.20385024,794.57507136,10639.99848,3,4,33,1
"SWP","1996-02-07",7,720,185,3110.2040448,796.7498016,3467.31228,1,3,10,4
"CVP","1996-02-07",12,1440,120,9307.98134784,775.66511232,10573.39056,7,2,47,2
"SWP","1996-02-08",7,780,200,4146.9387264,1055.933472,3864.49284,2,1,7,7
"CVP","1996-02-08",12,1440,120,9466.60073472,788.88339456,10607.928,6,4,29,2
"SWP","1996-02-09",9,780,270,6796.3718016,2246.2584768,7482.28968,4,6,12,15
"CVP","1996-02-09",12,1440,120,9321.64137216,776.80344768,10631.36412,7,0,33,2
"SWP","1996-02-10",12,1440,340,10749.623616,2495.418,10880.52708,5,10,19,10
"CVP","1996-02-10",12,1440,120,9351.0002304,779.2500192,10569.69012,13,0,19,4
"SWP","1996-02-11",12,1440,360,13823.129088,3455.782272,14017.26672,3,12,25,6
"CVP","1996-02-11",12,1440,120,9016.83933696,751.40327808,10520.35092,10,2,49,1
"SWP","1996-02-12",7,840,200,8063.491968,1919.87904,8152.06932,10,6,5,5
"CVP","1996-02-12",12,1440,120,3983.93589888,332.2410144,5817.09168,2,0,7,1
"SWP","1996-02-13",8,840,195,6450.7935744,1583.900208,5936.73924,2,5,7,3
"CVP","1996-02-13",12,1440,120,5991.44977152,499.28748096,8107.66404,4,2,7,1
"SWP","1996-02-14",12,1380,285,9289.8359424,1612.4435424,10076.29812,0,5,5,4
"CVP","1996-02-14",12,1440,120,9098.18784,758.18232,10834.88832,3,3,46,1
"SWP","1996-02-15",13,1440,335,10479.481344,1983.5068896,10495.68132,0,4,6,4
"CVP","1996-02-15",12,1440,120,9316.74822912,776.39568576,10837.35528,4,1,28,1
"SWP","1996-02-16",13,1500,335,11745.5821056,2188.0674528,10960.70328,1,2,11,4
"CVP","1996-02-16",11,1440,110,9350.79634944,707.51790144,10821.32004,1,0,17,1
"SWP","1996-02-17",12,1440,360,4377.3242112,1151.927424,4401.05664,2,0,6,1
"CVP","1996-02-17",12,1440,120,9599.12335872,799.92694656,10857.09096,1,0,25,0
"SWP","1996-02-18",12,1440,360,8293.8774528,2073.4693632,8286.51864,0,0,2,2
"CVP","1996-02-18",12,1440,120,9552.23073792,796.01922816,10699.20552,1,0,15,1
"SWP","1996-02-19",13,1380,390,8754.6484224,2591.836704,9642.11316,2,2,9,5
"CVP","1996-02-19",12,1440,120,9594.84185856,799.57015488,10583.2584,2,0,26,2
"SWP","1996-02-20",13,1440,380,10018.7103744,2655.0398016,9830.8356,1,8,12,8
"CVP","1996-02-20",12,1440,120,9941.64337152,828.47028096,10468.54476,0,3,7,0
"SWP","1996-02-21",12,1440,345,7372.3355136,1756.6893216,7497.09144,1,4,3,6
"CVP","1996-02-21",12,1440,120,10087.21437696,840.60119808,10435.2408,2,10,12,3
"SWP","1996-02-22",12,1440,360,6565.9863168,1612.6983936,6664.49244,0,4,1,3
"CVP","1996-02-22",12,1440,120,5586.338304,465.528192,5982.378,3,0,17,1
"SWP","1996-02-23",12,1440,360,7487.528256,1843.0838784,7504.49232,2,1,0,3
"CVP","1996-02-23",12,1440,120,4122.26913024,343.52242752,4519.47072,2,1,5,0
"SWP","1996-02-24",11,1500,540,6796.3718016,2015.872992,6309.2502,3,4,1,4
"CVP","1996-02-24",12,1440,120,4130.6282496,344.2190208,4693.3914,3,0,3,1
"SWP","1996-02-25",12,1380,360,7948.2992256,2073.4693632,8457.97236,1,2,1,2
"CVP","1996-02-25",12,1440,120,4116.96822528,343.08068544,4720.52796,0,0,4,0
"SWP","1996-02-26",14,1500,420,6450.7935744,1843.0838784,6169.86696,1,4,8,1
"CVP","1996-02-26",12,1440,120,4033.37703168,336.11475264,4690.92444,1,0,0,0
"SWP","1996-02-27",15,1440,435,6948.7728192,2303.4725712,6949.42632,2,3,13,6
"CVP","1996-02-27",12,1440,120,4006.05698304,333.83808192,4666.25484,2,0,0,0
"SWP","1996-02-28",8,720,230,7484.4700416,2405.2856256,7938.67728,1,3,8,3
"CVP","1996-02-28",12,1440,120,4002.1832448,333.5152704,4642.81872,0,2,3,1
"SWP","1996-02-29",9,840,270,4838.0951808,1382.3129088,4431.89364,0,0,2,4
"CVP","1996-02-29",12,1440,120,4055.1922944,337.9326912,4697.09184,0,0,2,0
"SWP","1996-03-01",8,840,240,5759.63712,1555.1020224,6278.4132,1,2,1,1
"CVP","1996-03-01",12,1440,120,4000.55219712,333.37934976,4682.29008,0,1,1,0
"SWP","1996-03-02",12,1440,360,7948.2992256,2015.872992,8004.05172,1,3,3,4
"CVP","1996-03-02",12,1440,120,4010.95012608,334.24584384,4682.29008,0,0,2,1
"SWP","1996-03-03",12,1440,360,11058.5032704,2764.6258176,11219.73408,1,2,3,5
"CVP","1996-03-03",12,1440,120,4057.231104,338.102592,4673.65572,0,0,1,0
"SWP","1996-03-04",9,900,270,5644.4443776,1555.1020224,17547.48648,3,3,8,3
"CVP","1996-03-04",3,360,30,1006.96806144,83.91400512,1269.25092,0,0,0,1
"SWP","1996-03-05",8,720,195,6640.4028672,1477.8821088,7246.695,1,2,6,0
"CVP","1996-03-05",0,0,0,0,0,NA,0,0,0,0
"SWP","1996-03-06",7,720,210,5990.0226048,1612.6983936,5903.43528,0,1,0,0
"CVP","1996-03-06",0,0,0,0,0,NA,0,0,0,0
"SWP","1996-03-07",5,600,150,3570.9750144,806.3491968,3410.5722,0,0,2,0
"CVP","1996-03-07",0,0,0,0,0,NA,0,0,0,0
"SWP","1996-03-08",9,1440,750,3685.6580544,1689.4086048,3823.788,0,1,1,1
"CVP","1996-03-08",0,0,0,0,0,NA,0,0,0,0
"SWP","1996-03-09",6,720,180,2764.6258176,691.1564544,2938.14936,1,0,2,1
"CVP","1996-03-09",0,0,0,0,0,NA,0,0,0,0
"SWP","1996-03-10",12,1440,360,8293.8774528,2073.4693632,8354.36004,0,1,3,3
"CVP","1996-03-10",0,0,0,0,0,NA,0,0,0,0
"SWP","1996-03-11",10,1200,300,4838.0951808,1151.927424,4579.91124,3,3,3,0
"CVP","1996-03-11",0,0,0,0,0,NA,0,0,0,0
"SWP","1996-03-12",6,720,180,3916.5532416,979.1383104,4100.08752,1,1,93,1
"CVP","1996-03-12",0,0,0,0,0,NA,0,0,0,0
"SWP","1996-03-13",9,960,250,7257.1427712,1823.885088,7329.33816,3,3,6,2
"CVP","1996-03-13",0,0,0,0,0,NA,0,0,0,0
"SWP","1996-03-14",10,1332,630,5621.40582912,2131.0657344,6436.29864,1,1,4,1
"CVP","1996-03-14",9,1080,90,3044.75825664,253.72985472,3796.65144,0,1,1,0
"SWP","1996-03-15",11,1440,330,5414.0588928,1267.1201664,5662.90668,0,2,1,1
"CVP","1996-03-15",12,1440,120,4060.08543744,338.34045312,4199.9994,1,0,0,0
"SWP","1996-03-16",11,1440,540,4607.709696,2188.6621056,4562.64252,2,2,0,1
"CVP","1996-03-16",12,1440,120,4056.00781824,338.00065152,4208.63376,2,0,1,0
